time,open,high,low,close,volume,spread,real_volume
2023-03-13 18:00:00,24170.86,24358.43,24057.54,24340.71,4085,2298,0
2023-03-13 19:00:00,24341.03,24467.39,24192.49,24353.49,4094,2303,0
2023-03-13 20:00:00,24356.43,24394.14,24147.0,24206.61,3927,1989,0
2023-03-13 21:00:00,24206.51,24287.48,24126.81,24173.89,3710,2108,0
2023-03-13 22:00:00,24176.36,24312.39,24164.1,24274.16,3791,2082,0
2023-03-13 23:00:00,24274.01,24285.34,24035.42,24185.38,4090,1993,0
2023-03-14 00:00:00,24184.64,24327.61,24075.91,24264.82,4174,1968,0
2023-03-14 01:00:00,24264.19,24500.71,24198.82,24479.06,4173,1904,0
2023-03-14 02:00:00,24474.99,24549.51,24344.61,24353.65,3893,1633,0
2023-03-14 03:00:00,24355.65,24489.95,24321.58,24467.78,3668,1744,0
2023-03-14 04:00:00,24468.82,24533.6,24413.63,24520.22,3615,1619,0
2023-03-14 05:00:00,24520.92,24874.42,24332.99,24429.55,4652,528,0
2023-03-14 06:00:00,24430.44,24538.85,24384.23,24425.34,3912,1845,0
2023-03-14 07:00:00,24424.5,24506.99,24245.92,24343.34,4026,2012,0
2023-03-14 08:00:00,24344.88,24387.62,24211.01,24296.47,3991,2016,0
2023-03-14 09:00:00,24298.39,24354.1,24223.18,24347.89,3729,2015,0
2023-03-14 10:00:00,24347.39,24695.64,24323.33,24660.58,3815,881,0
2023-03-14 11:00:00,24658.8,24910.45,24549.09,24843.15,4264,310,0
2023-03-14 12:00:00,24843.3,26122.42,24673.85,25953.09,6235,328,0
2023-03-14 13:00:00,25948.31,26484.03,25699.32,25839.08,5740,1138,0
2023-03-14 14:00:00,25845.42,26186.58,25707.68,25918.46,4634,2200,0
2023-03-14 15:00:00,25922.38,26029.82,25846.83,25999.32,4213,2430,0
2023-03-14 16:00:00,25999.6,26086.19,25789.37,25940.93,4112,2381,0
2023-03-14 17:00:00,25941.33,25975.7,25658.1,25688.95,4164,2392,0
2023-03-14 18:00:00,25691.88,25708.71,24889.62,25024.93,5021,1248,0
2023-03-14 19:00:00,25028.55,25165.22,24288.6,25097.52,5999,345,0
2023-03-14 20:00:00,25093.07,25204.74,24524.99,24606.54,5001,1085,0
2023-03-14 21:00:00,24608.77,24660.78,24041.55,24584.97,5058,962,0
2023-03-14 22:00:00,24580.65,24805.29,24441.05,24748.12,4237,1853,0
2023-03-14 23:00:00,24743.57,24820.92,24649.12,24712.07,3975,1996,0
2023-03-15 00:00:00,24708.59,24772.93,24357.39,24765.39,4407,1992,0
2023-03-15 01:00:00,24760.28,25099.36,24691.62,24959.96,4422,2028,0
2023-03-15 02:00:00,24960.93,25023.84,24851.22,24882.08,3809,2078,0
2023-03-15 03:00:00,24882.79,24917.57,24708.81,24791.35,3833,2056,0
2023-03-15 04:00:00,24791.78,24888.53,24740.97,24876.81,3716,1968,0
2023-03-15 05:00:00,24879.24,24952.44,24751.52,24783.18,3716,1931,0
2023-03-15 06:00:00,24783.89,24927.09,24687.64,24860.43,3981,1707,0
2023-03-15 07:00:00,24859.41,24987.63,24786.8,24944.84,3848,2142,0
2023-03-15 08:00:00,24940.58,24999.17,24825.19,24827.64,3816,1971,0
2023-03-15 09:00:00,24827.76,24866.51,24551.42,24602.31,4014,1908,0
2023-03-15 10:00:00,24602.13,24721.01,24466.55,24625.56,4041,1853,0
2023-03-15 11:00:00,24626.42,24888.13,24336.09,24825.61,4737,1902,0
2023-03-15 12:00:00,24827.69,25231.11,24583.78,24983.67,3043,443,0
2023-03-15 13:00:00,24852.87,25226.86,24811.47,24857.46,4529,308,0
2023-03-15 14:00:00,24852.32,25013.01,24493.11,24770.76,5173,580,0
2023-03-15 15:00:00,24769.35,24864.75,24424.36,24504.1,4946,1963,0
2023-03-15 16:00:00,24505.53,24549.27,24075.18,24115.22,5474,1869,0
2023-03-15 17:00:00,24117.73,24375.77,23903.87,24312.32,5004,1572,0
2023-03-15 18:00:00,24311.94,24521.01,24158.48,24436.94,4794,2024,0
2023-03-15 19:00:00,24439.72,24517.62,24189.86,24398.39,4712,2173,0
2023-03-15 20:00:00,24396.27,24473.43,24275.74,24362.52,4014,524,0
2023-03-15 21:00:00,24363.4,24516.23,24337.48,24493.45,3740,1985,0
2023-03-15 22:00:00,24491.03,24706.79,24348.26,24421.22,3977,2132,0
2023-03-15 23:00:00,24418.8,24495.82,24269.6,24338.39,4072,2027,0
2023-03-16 00:00:00,24337.26,24431.96,24202.07,24250.48,4101,2061,0
2023-03-16 01:00:00,24249.27,24394.07,24177.32,24383.64,4153,2200,0
2023-03-16 02:00:00,24380.71,24493.99,24350.16,24410.52,3725,2017,0
2023-03-16 03:00:00,24410.61,24430.53,24275.24,24308.78,3728,2010,0
2023-03-16 04:00:00,24309.44,24359.21,24233.73,24317.65,3704,1979,0
2023-03-16 05:00:00,24316.92,24498.16,24279.86,24389.3,3911,2207,0
