price_range,body_size,upper_wick,lower_wick,atr,momentum,has_bos_bullish,has_bos_bearish,has_ob_bullish,has_ob_bearish,has_fvg_bullish,has_fvg_bearish,volatility,avg_range,target
301.6200000000026,97.25,169.38999999999942,34.9800000000032,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
162.36999999999534,35.91000000000349,31.799999999995634,94.65999999999622,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
215.0699999999997,128.20999999999913,40.68999999999505,46.17000000000553,0.0,0.0,0,0,0,0,0,1,0.0,0.0,0
83.86999999999534,62.029999999998836,0.0,21.839999999996508,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
91.56999999999971,46.38000000000466,17.229999999995925,27.959999999999127,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0
126.27999999999884,12.110000000000582,66.68999999999505,47.4800000000032,0.0,-99.08999999999651,0,0,0,0,0,0,0.0,0.0,0
212.95999999999913,191.79000000000087,17.910000000003492,3.2599999999947613,0.0,53.11999999999534,0,0,0,0,1,0,0.0,0.0,0
200.84999999999854,1.4699999999938882,107.79000000000087,91.59000000000378,0.0,180.4300000000003,0,0,0,0,0,0,0.0,0.0,0
87.93000000000029,76.34000000000378,0.0,11.589999999996508,0.0,172.30999999999767,0,0,0,0,0,0,0.0,0.0,0
122.68000000000029,42.11000000000058,62.299999999995634,18.270000000004075,0.0,172.90000000000146,0,0,0,0,0,0,0.0,160.519999999999,1
202.8399999999965,169.3000000000029,11.549999999995634,21.989999999997963,0.0,-5.2700000000040745,0,0,0,0,0,0,0.0,150.64199999999838,1
164.27999999999884,118.94000000000233,30.19000000000233,15.14999999999418,0.0,-77.34999999999854,0,0,0,0,0,0,0.0,150.83299999999872,1
113.36000000000058,54.31999999999971,46.44999999999709,12.590000000003783,0.0,-127.69000000000233,0,0,0,0,0,0,0.0,140.6619999999988,1
177.88999999999942,104.87000000000262,33.109999999993306,39.91000000000349,0.0,54.03000000000611,0,0,0,0,1,0,0.0,150.06399999999923,1
108.84000000000378,83.68999999999505,19.35000000000582,5.80000000000291,148.51142857142779,97.1099999999933,0,0,0,0,0,0,0.002343217720422274,151.79099999999963,0
166.50999999999476,130.47000000000116,23.479999999995925,12.559999999997672,148.80714285714203,131.29000000000087,0,0,0,0,0,1,0.002352700698932672,155.81399999999923,0
66.88999999999942,9.709999999999127,28.94000000000233,28.239999999997963,138.2228571428563,8.540000000000873,0,0,0,0,0,0,0.002185555160059217,141.20699999999925,0
108.45999999999913,49.479999999995925,18.669999999998254,40.31000000000495,139.50571428571337,11.830000000001746,0,0,0,0,0,0,0.002207530619501292,131.9679999999993,0
111.63999999999942,34.19999999999709,52.4600000000064,24.979999999995925,140.93928571428478,-121.84000000000378,0,0,0,0,0,0,0.0022312297395315752,134.3389999999992,0
75.86000000000058,11.599999999998545,31.389999999999418,32.87000000000262,137.33785714285634,-226.30999999999767,0,0,0,0,0,0,0.002174685986893668,129.65699999999924,0
95.70999999999913,14.349999999998545,38.44000000000233,42.919999999998254,128.96285714285634,-110.29000000000087,0,0,0,0,0,0,0.002042516166148679,118.9439999999995,0
255.63999999999942,196.1800000000003,40.830000000001746,18.62999999999738,132.87642857142782,-298.2300000000032,0,0,0,0,0,1,0.0021109728032007932,128.07999999999956,1
179.0899999999965,89.29000000000087,9.07999999999447,80.72000000000116,139.3564285714274,-155.95999999999913,0,0,0,0,0,0,0.002210623934637513,134.65299999999917,1
132.13999999999942,112.58999999999651,19.55000000000291,0.0,140.17142857142713,-12.690000000002328,0,0,0,0,1,0,0.002219519579874689,130.07799999999915,0
100.38999999999942,55.39999999999418,33.18000000000029,11.810000000004948,132.85357142857018,-59.65999999999622,0,0,0,0,0,0,0.0021056684533630383,129.23299999999873,0
135.8000000000029,95.71999999999389,1.3800000000046566,38.700000000004366,130.93214285714203,-144.5899999999965,0,0,0,0,0,1,0.0020784654762127626,126.16199999999954,1
85.16000000000349,4.919999999998254,9.80000000000291,70.44000000000233,128.91785714285652,43.30000000000291,0,0,0,0,0,0,0.0020466761224536027,127.98899999999995,1
134.40000000000146,48.2300000000032,28.799999999995634,57.37000000000262,125.8114285714281,-3.110000000000582,0,0,0,0,0,0,0.0019958568090358746,130.58300000000017,0
233.20999999999913,104.31999999999971,14.630000000004657,114.25999999999476,134.60214285714235,-220.5699999999997,0,0,0,0,0,0,0.002138803650100191,142.74000000000015,0
134.88999999999942,3.459999999999127,61.36999999999534,70.06000000000495,132.34357142857127,-164.8199999999997,0,0,0,0,0,0,0.002103079105495179,148.64300000000003,0
159.57999999999447,50.779999999998836,4.919999999998254,103.87999999999738,138.96428571428518,-115.51000000000204,0,0,0,0,0,0,0.0022100231016992,155.02999999999957,0
145.86000000000058,64.66999999999825,0.4000000000014552,80.79000000000087,141.9192857142854,-178.8199999999997,0,0,0,0,0,0,0.0022594989261162327,144.05199999999968,1
85.19000000000233,20.919999999998254,21.529999999998836,42.74000000000524,140.0299999999999,-205.22000000000116,0,0,0,0,0,0,0.0022286740893201246,134.66200000000026,0
200.57000000000698,150.48999999999796,44.700000000004366,5.380000000004657,148.93785714285747,-253.65999999999622,0,0,0,0,0,1,0.002376172981354375,141.50500000000102,1
147.32999999999447,20.970000000001164,31.349999999998545,95.00999999999476,152.625,-227.77000000000407,0,0,0,0,0,0,0.0024341829622025013,146.19900000000052,1
162.9600000000064,121.48999999999796,36.19000000000233,5.280000000006112,146.0050000000005,-295.0599999999977,0,0,0,0,0,0,0.002332942658712571,148.91500000000087,1
112.55999999999767,55.31999999999971,4.069999999999709,53.169999999998254,141.25285714285772,-168.27999999999884,0,0,0,0,0,0,0.002254930089687056,151.65500000000029,1
104.38999999999942,62.020000000004075,37.43000000000029,4.939999999995052,139.13142857142935,-130.6800000000003,1,0,0,0,0,0,0.002218987894358399,148.65400000000008,1
116.19999999999709,80.34999999999854,15.919999999998254,19.93000000000029,140.2607142857149,-59.919999999998254,0,0,0,0,0,0,0.002239878030362839,136.9529999999999,1
110.47000000000116,75.12000000000262,31.119999999995343,4.230000000003201,138.3385714285718,-14.299999999995634,0,0,0,0,0,0,0.0022068351246876602,134.51100000000005,1
73.84000000000378,27.900000000001455,27.19000000000233,18.75,137.5300000000004,127.37999999999738,0,0,0,0,0,0,0.0021930611373397225,125.93700000000099,1
120.2100000000064,20.159999999996217,41.24000000000524,58.81000000000495,136.51642857142932,90.44999999999709,0,0,0,0,0,0,0.002176176533333248,123.37200000000158,1
103.38999999999942,76.36999999999534,26.31999999999971,0.7000000000043656,127.2435714285722,103.19999999999709,0,0,0,0,1,0,0.0020260553762614275,125.19200000000129,1
100.56999999999971,69.5199999999968,22.790000000000873,8.260000000002037,124.79214285714365,255.12999999999738,0,0,0,0,0,0,0.0019847679012468663,115.19200000000055,0
129.4300000000003,125.36000000000058,0.0,4.069999999999709,122.63857142857263,70.6099999999933,0,0,0,0,0,1,0.0019541809255533907,113.40200000000114,0
92.97000000000116,73.47000000000116,1.9800000000032014,17.5199999999968,118.57714285714403,-22.30000000000291,0,0,0,0,0,1,0.0018915104238508978,106.40300000000062,1
49.4600000000064,8.80000000000291,34.5,6.1600000000034925,116.02500000000146,-31.25999999999476,0,0,0,0,0,0,0.0018504495464026472,100.09300000000148,1
160.25,79.11000000000058,55.00999999999476,26.130000000004657,113.14500000000096,-181.5199999999968,0,0,0,0,0,0,0.001806790831604459,105.67900000000154,1
102.52999999999884,59.44999999999709,35.779999999998836,7.30000000000291,109.94500000000127,-193.40000000000146,0,0,0,0,0,0,0.0017540254681084088,104.31200000000172,1
91.57999999999447,19.18000000000029,17.619999999995343,54.779999999998836,104.84642857142899,-94.32999999999447,0,0,0,0,0,0,0.0016731874831966036,102.42300000000105,1
96.58000000000175,70.72000000000116,8.819999999999709,17.040000000000873,103.70500000000071,46.80000000000291,0,0,0,0,0,0,0.0016530399724687386,104.69700000000084,1
83.62000000000262,42.31999999999971,30.05000000000291,11.25,102.22142857142951,-1.4200000000055297,0,0,0,0,0,0,0.0016303372554995524,101.03800000000047,1
56.849999999998545,16.790000000000873,25.610000000000582,14.44999999999709,97.9821428571439,93.70999999999913,0,0,0,0,0,0,0.001562320156648651,96.38400000000038,1
49.69999999999709,17.020000000004075,23.69999999999709,8.979999999995925,93.64142857142932,20.93000000000029,0,0,0,0,0,0,0.001493425115560527,91.29700000000011,1
130.90000000000146,5.69999999999709,81.76000000000204,43.44000000000233,97.71714285714344,34.169999999998254,0,0,0,0,0,0,0.001558565179454656,91.44400000000023,1
187.32999999999447,159.7199999999939,27.610000000000582,0.0,102.97928571428565,127.19999999999709,0,0,0,0,1,0,0.0016381507843196109,100.87999999999957,1
167.5699999999997,101.18000000000029,45.04000000000087,21.349999999998545,107.5635714285714,257.4800000000032,0,0,0,1,1,0,0.0017085233268363854,112.6909999999989,1
162.4699999999939,8.959999999999127,94.06999999999971,59.43999999999505,111.98499999999954,234.7699999999968,0,0,0,0,0,0,0.001778935723526519,112.91299999999828,0
141.5199999999968,76.33000000000175,41.5,23.689999999995052,112.84857142857072,174.80999999999767,0,1,0,0,0,0,0.0017947434967925727,116.81199999999808,0
86.29000000000087,7.309999999997672,56.41000000000349,22.56999999999971,112.37142857142784,176.0699999999997,0,0,0,0,0,0,0.0017872783815137587,116.28299999999872,1
104.16000000000349,17.419999999998254,59.09000000000378,27.650000000001455,116.27857142857049,-3.8099999999976717,0,0,0,0,0,0,0.0018498222925187623,117.04099999999889,0
83.30999999999767,43.18000000000029,17.590000000003783,22.539999999993597,110.78285714285605,-138.84000000000378,0,0,0,0,0,1,0.0017635471430708942,117.0099999999984,0
159.70999999999913,146.10000000000582,2.4899999999979627,11.119999999995343,114.86714285714177,-273.25,0,0,0,0,0,1,0.0018326750598764016,127.29599999999846,1
356.1100000000006,197.26000000000204,50.299999999995634,108.55000000000291,133.7621428571422,-397.0899999999965,0,0,0,0,0,1,0.0021408731994232762,157.93699999999882,1
139.41999999999825,76.40999999999622,25.459999999999127,37.55000000000291,136.82214285714196,-313.2900000000009,0,0,0,0,0,0,0.0021870672986152406,158.78899999999848,1
207.27999999999884,64.62000000000262,55.279999999998836,87.37999999999738,145.65499999999884,-235.95999999999913,0,0,0,0,0,0,0.002325889252828319,160.7839999999989,1
110.47999999999593,7.230000000003201,50.57999999999447,52.669999999998254,149.48571428571293,-186.07999999999447,0,0,0,0,0,0,0.0023867260805751573,155.07499999999854,1
75.25999999999476,0.43999999999505235,45.029999999998836,29.790000000000873,151.31142857142706,-46.75999999999476,0,0,0,0,0,0,0.0024159364490879778,146.35399999999862,1
85.95999999999913,64.59999999999854,10.269999999996799,11.090000000003783,148.10142857142688,215.40000000000146,0,0,0,0,0,0,0.0023622307756212936,140.79799999999886,1
148.5,51.80000000000291,65.79999999999563,30.900000000001455,144.8599999999985,84.06999999999971,0,0,0,0,0,0,0.002312442861382228,147.01899999999878,1
